job_title,Company,Company_Location,Post On,Job_link
Client Data Services (Sr. Analyst),Afiniti,"Islamabad, Islāmābād, Pakistan",2 weeks ago,https://pk.linkedin.com/jobs/view/client-data-services-sr-analyst-at-afiniti-3416252430?refId=JAg5u6go1RJtOufcuxPYlg%3D%3D&trackingId=ke5t%2B4tKRp17J4331AW1QQ%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
Client Data Services (Sr. Analyst),Afiniti,"Lahore, Punjab, Pakistan",5 days ago,https://pk.linkedin.com/jobs/view/client-data-services-sr-analyst-at-afiniti-3497156488?refId=JAg5u6go1RJtOufcuxPYlg%3D%3D&trackingId=9KwdUsf1P68d2HHuQeq13w%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
Client Data Services (Sr. Analyst),Afiniti,"Islamabad, Islāmābād, Pakistan",5 days ago,https://pk.linkedin.com/jobs/view/client-data-services-sr-analyst-at-afiniti-3497159092?refId=JAg5u6go1RJtOufcuxPYlg%3D%3D&trackingId=f%2FCeo5qBQBmys%2BEr3vTT4w%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
"Data Associate, WWFIG position",S&P Global,"Islamabad, Islāmābād, Pakistan",1 week ago,https://pk.linkedin.com/jobs/view/data-associate-wwfig-position-at-s-p-global-3520219702?refId=JAg5u6go1RJtOufcuxPYlg%3D%3D&trackingId=g3G9E83cFXu9ZqPdXXNbbw%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
Build your Data Analytics Portfolio,CareerMatch,"Peshawar, Khyber Pakhtunkhwa, Pakistan",3 weeks ago,https://pk.linkedin.com/jobs/view/build-your-data-analytics-portfolio-at-careermatch-3518332709?refId=JAg5u6go1RJtOufcuxPYlg%3D%3D&trackingId=7bZFuzjdTUjjmh341gCEwg%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
Build your Data Analytics Portfolio,CareerMatch,"Sialkot, Punjab, Pakistan",3 weeks ago,https://pk.linkedin.com/jobs/view/build-your-data-analytics-portfolio-at-careermatch-3518332721?refId=JAg5u6go1RJtOufcuxPYlg%3D%3D&trackingId=aw%2BSIfP%2BYklavVct060zWw%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
Build your Data Analytics Portfolio,CareerMatch,"Karāchi, Sindh, Pakistan",3 weeks ago,https://pk.linkedin.com/jobs/view/build-your-data-analytics-portfolio-at-careermatch-3518339156?refId=JAg5u6go1RJtOufcuxPYlg%3D%3D&trackingId=VzUAzM%2Bvh9Gcg5qNkq3PhA%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Engineer,Tajir,"Lahore, Punjab, Pakistan",1 month ago,https://pk.linkedin.com/jobs/view/data-engineer-at-tajir-3488436792?refId=JAg5u6go1RJtOufcuxPYlg%3D%3D&trackingId=6wWjrGA4YpqmXLaBvelu8A%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
Build your Data Analytics Portfolio,CareerMatch,"Sukkur, Sindh, Pakistan",3 weeks ago,https://pk.linkedin.com/jobs/view/build-your-data-analytics-portfolio-at-careermatch-3518330951?refId=F413JMPRXK6okpFcZzm9jA%3D%3D&trackingId=YIYynpn1Y8q1S6CcTcB2YA%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
Build your Data Analytics Portfolio,CareerMatch,"Hyderabad, Sindh, Pakistan",3 weeks ago,https://pk.linkedin.com/jobs/view/build-your-data-analytics-portfolio-at-careermatch-3518336306?refId=F413JMPRXK6okpFcZzm9jA%3D%3D&trackingId=GpjkAPVktgpqrjuJrpAYNw%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card
Build your Data Analytics Portfolio,CareerMatch,"Gujrat, Punjab, Pakistan",3 weeks ago,https://pk.linkedin.com/jobs/view/build-your-data-analytics-portfolio-at-careermatch-3522106663?refId=F413JMPRXK6okpFcZzm9jA%3D%3D&trackingId=gsrEStsu7f8sdOE5Ih5Q8A%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card
Build your Data Analytics Portfolio,CareerMatch,"Quetta, Baluchistan, Pakistan",3 weeks ago,https://pk.linkedin.com/jobs/view/build-your-data-analytics-portfolio-at-careermatch-3518331849?refId=F413JMPRXK6okpFcZzm9jA%3D%3D&trackingId=2qHe0qEV4t0iRQEAAR5kxg%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analyst,Turing,Pakistan,1 month ago,https://pk.linkedin.com/jobs/view/data-analyst-at-turing-3515760414?refId=F413JMPRXK6okpFcZzm9jA%3D%3D&trackingId=%2FDwxbjt08pMtXmFDvAmfrA%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analyst,Turing,Pakistan,1 month ago,https://pk.linkedin.com/jobs/view/data-analyst-at-turing-3515758808?refId=F413JMPRXK6okpFcZzm9jA%3D%3D&trackingId=h8krvMXbKP2qg0eGkChopg%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card
Build your Data Analytics Portfolio,CareerMatch,"Jhang, Punjab, Pakistan",3 weeks ago,https://pk.linkedin.com/jobs/view/build-your-data-analytics-portfolio-at-careermatch-3518331989?refId=F413JMPRXK6okpFcZzm9jA%3D%3D&trackingId=5uM40ZK19LjbP3ywtf4Q%2Fg%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card
Build your Data Analytics Portfolio,CareerMatch,"Gujranwala, Punjab, Pakistan",3 weeks ago,https://pk.linkedin.com/jobs/view/build-your-data-analytics-portfolio-at-careermatch-3518335642?refId=F413JMPRXK6okpFcZzm9jA%3D%3D&trackingId=M2FiF0pJ9WiWtWvK358gNA%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card
